업종,β_SDI,p_SDI,bs,bf,diff,t,p2,p1,direction,판정
제조+서비스,-0.42680999303519696,8.62739097995144e-12,0.8911,1.324,-0.4329,-3.6202,0.0003,0.0001,False,불지지
건설,0.02161786988469623,0.7785398575294227,0.7147,0.4228,0.2919,1.9129,0.0558,0.0279,True,수준2만 지지
