,coef,IRR,CI_lo,CI_hi,p
const,-5.489388876891877,0.00413036756619008,0.0027367477238152502,0.006233653209383882,1.2902108891073043e-150
SDI,1.5028693697331732,4.494567160475271,3.152093185874222,6.408799730462293,1.0237716782841013e-16
Q14_norm,1.2590818857523018,3.522186233062485,2.0136403570432932,6.160879631251933,1.0171187413997486e-05
elder_rate_con,0.5772481534308554,1.7811302833536506,1.2493952577888314,2.5391685029235544,0.0014192853836867885
foreign_rate_con,-1.371274984461129,0.2537831835764356,0.1620025030785331,0.3975611675269554,2.1294688246027595e-09
female_rate_con,2.0357028240116817,7.657632202418035,2.070212702967987,28.32526863710219,0.0022863917509764803
