,coef,OR,CI_lo,CI_hi,p
const,0.3341846982899437,1.3968011065268808,1.0345599404896324,1.8858775164552881,0.029125531338264635
SDI,-1.203853109354803,0.30003591064045854,0.2082806395696231,0.4322127484333811,1.0188446901047475e-10
Q15_norm,-1.5681285362640942,0.20843489592489275,0.14721611324125974,0.2951110777393127,9.674456963607238e-19
ind_mfg,-0.24373669131397427,0.7836939605249141,0.6699513118618496,0.9167475499919233,0.0023160762035681817
elder_rate_mfg,0.31207838333978677,1.3662617809938862,1.0251072083061021,1.8209522273178558,0.03324252540296803
foreign_rate_mfg,0.3620244065007963,1.4362339949787315,0.8127364390344428,2.538052915140857,0.2126894317730268
female_rate_mfg,-0.15685028074180649,0.854832034055286,0.6330016508267335,1.1544011069998246,0.3061835376730222
