,coef,IRR,CI_lo,CI_hi,p
const,-3.9661169224190935,0.018946862614149268,0.015189343073707798,0.023633912354039516,6.409620628686537e-271
SDI,0.048034536321293064,1.0492068904450242,0.7944690853997953,1.3856235808135333,0.7349761785895763
Q15_norm,-1.1120511447912298,0.32888368071442686,0.25083088551814936,0.43122470830029674,8.627901637752132e-16
ind_mfg,-0.3102875599762747,0.7332360765566879,0.649901241554704,0.827256680842932,4.637200320981426e-07
elder_rate_mfg,0.49199428378616694,1.635574769883394,1.3163156924230939,2.032266912320056,8.97447454805707e-06
foreign_rate_mfg,0.8917574643381391,2.4394130676840318,1.502889976099481,3.959528780830541,0.00030804070071789146
female_rate_mfg,-0.7994744014723805,0.44956519283447316,0.3572627879647534,0.5657148446936391,9.203344187632161e-12
