row_id,F_score,S_score,SDI,WT2
0,0.8333333333333334,0.7375,-0.09583333333333333,1.54830171
1,0.75,0.6375,-0.11250000000000004,0.903546579
2,0.9166666666666666,0.8,-0.11666666666666659,1.005614551
3,0.7916666666666666,0.75,-0.04166666666666663,1.657768763
4,0.9583333333333334,0.6,-0.3583333333333334,0.971637038
5,1.0,1.0,0.0,0.519767907
6,1.0,0.6375,-0.36250000000000004,0.903546579
7,0.75,0.75,0.0,1.056428473
8,0.9583333333333334,0.9,-0.05833333333333335,0.903546579
9,1.0,1.0,0.0,0.519767907
10,0.7916666666666666,0.6875,-0.10416666666666663,0.94576582
11,0.875,0.5875,-0.2875,0.607772801
12,0.9583333333333334,0.775,-0.18333333333333335,0.519767907
13,0.8333333333333334,0.625,-0.20833333333333337,1.657768763
14,1.0,1.0,0.0,1.502503257
15,0.9583333333333334,0.6875,-0.27083333333333337,0.578053874
16,1.0,0.7875,-0.21250000000000002,1.056428473
17,0.7083333333333334,0.6875,-0.02083333333333337,0.903546579
18,1.0,1.0,0.0,0.509539871
19,0.9166666666666666,0.7875,-0.12916666666666665,0.578053874
20,1.0,0.875,-0.125,0.578053874
21,0.8333333333333334,0.8125,-0.02083333333333337,0.796001779
22,1.0,1.0,0.0,0.903546579
23,1.0,1.0,0.0,0.903546579
24,0.6666666666666666,0.65,-0.016666666666666607,0.903546579
25,0.6666666666666666,0.6125,-0.054166666666666585,0.519767907
26,0.9166666666666666,1.0,0.08333333333333337,0.509539871
27,0.625,0.65,0.025000000000000022,0.519767907
28,0.75,0.7125,-0.03749999999999998,0.519767907
29,0.9166666666666666,0.725,-0.19166666666666665,0.519767907
30,0.625,0.7,0.07499999999999996,0.519767907
31,0.5,0.5,0.0,0.509539871
32,0.7916666666666666,0.75,-0.04166666666666663,0.903546579
33,0.9166666666666666,0.7375,-0.17916666666666659,0.676237787
34,0.7083333333333334,0.7,-0.008333333333333415,0.94576582
35,0.8333333333333334,0.8375,0.004166666666666652,0.519767907
36,0.75,0.75,0.0,0.932002801
37,0.75,0.95,0.19999999999999996,0.519767907
38,1.0,1.0,0.0,0.519767907
39,0.8333333333333334,0.8875,0.054166666666666585,0.775491635
40,0.7916666666666666,0.6625,-0.12916666666666665,1.602603829
41,0.4166666666666667,0.325,-0.09166666666666667,0.509539871
42,0.9583333333333334,0.975,0.016666666666666607,1.657768763
43,0.7916666666666666,0.6,-0.19166666666666665,0.971637038
44,0.7916666666666666,0.6625,-0.12916666666666665,1.005614551
45,0.7916666666666666,0.6,-0.19166666666666665,0.509539871
46,0.875,0.7625,-0.11250000000000004,0.903546579
47,0.75,0.625,-0.125,1.643303916
48,0.7916666666666666,0.5625,-0.22916666666666663,1.005614551
49,0.5,0.5,0.0,0.971637038
50,0.6666666666666666,0.7375,0.07083333333333341,0.971637038
51,0.9166666666666666,0.9375,0.02083333333333337,1.005614551
52,0.7083333333333334,0.5,-0.20833333333333337,1.005614551
53,0.9583333333333334,0.7875,-0.1708333333333334,0.775491635
54,0.875,1.0,0.125,0.519767907
55,0.9166666666666666,0.9875,0.07083333333333341,0.509539871
56,0.875,0.85,-0.025000000000000022,0.519767907
57,0.75,0.75,0.0,0.509539871
58,1.0,0.975,-0.025000000000000022,0.877683328
59,0.9166666666666666,0.7375,-0.17916666666666659,1.056428473
60,1.0,0.8875,-0.11250000000000004,0.519767907
61,0.9583333333333334,0.6875,-0.27083333333333337,0.94576582
62,0.9583333333333334,0.9125,-0.04583333333333339,1.657768763
63,0.5833333333333334,0.725,0.1416666666666666,0.578053874
64,0.875,0.825,-0.050000000000000044,1.338667541
65,1.0,0.925,-0.07499999999999996,0.677589622
66,0.8333333333333334,0.7875,-0.04583333333333339,0.971637038
67,1.0,1.0,0.0,1.056428473
68,0.9166666666666666,0.95,0.033333333333333326,0.971637038
69,1.0,1.0,0.0,0.971637038
70,0.75,0.75,0.0,0.490359737
71,0.6666666666666666,0.675,0.008333333333333415,0.509539871
72,0.9166666666666666,0.7875,-0.12916666666666665,0.509539871
73,0.9166666666666666,0.85,-0.06666666666666665,0.932670497
74,0.9166666666666666,0.75,-0.16666666666666663,0.509539871
75,0.75,0.8125,0.0625,0.519767907
76,0.8333333333333334,0.725,-0.10833333333333339,1.019894658
77,0.625,0.5125,-0.11250000000000004,0.932670497
78,0.9583333333333334,0.8625,-0.09583333333333333,1.657768763
79,0.9583333333333334,0.6,-0.3583333333333334,1.127635276
80,0.6666666666666666,0.6625,-0.004166666666666652,1.657768763
81,1.0,0.975,-0.025000000000000022,0.683504201
82,0.625,0.5625,-0.0625,0.903546579
83,0.875,0.75,-0.125,1.657768763
84,1.0,0.875,-0.125,1.127635276
85,0.75,0.75,0.0,1.160167477
86,1.0,0.9875,-0.012499999999999956,1.643303916
87,1.0,1.0,0.0,0.519767907
88,0.5416666666666666,0.5875,0.04583333333333339,0.519767907
89,1.0,0.9375,-0.0625,1.005614551
90,1.0,0.6,-0.4,1.602603829
91,0.5,0.4125,-0.08750000000000002,0.519767907
92,0.75,0.75,0.0,0.932002801
93,0.625,0.75,0.125,1.643303916
94,0.75,0.7375,-0.012499999999999956,0.985621894
95,0.9166666666666666,0.75,-0.16666666666666663,1.005614551
96,1.0,1.0,0.0,1.602603829
97,0.7083333333333334,0.6875,-0.02083333333333337,0.519767907
98,0.75,0.75,0.0,0.775491635
99,1.0,1.0,0.0,0.775491635
