원본변수코드,Factor1,Factor2,주요요인,최대적재
Q17_7,0.7556605712584364,0.22146859272307162,Factor1,0.7556605712584364
Q17_9,0.7611292117042966,0.28095348870329057,Factor1,0.7611292117042966
Q17_11,0.6830223216489967,0.4378883726292683,Factor1,0.6830223216489967
Q17_13,0.5766261662116686,0.4736984844353047,Factor1,0.5766261662116686
Q17_8,0.7208259850959694,0.32524171191353757,Factor1,0.7208259850959694
Q17_10,0.6912878959774943,0.4062987425130033,Factor1,0.6912878959774943
Q17_12,0.676885003164182,0.46919611893360785,Factor1,0.676885003164182
Q17_14,0.2936124259073493,0.7810227112595889,Factor2,0.7810227112595889
Q17_15,0.33318652630683565,0.81504064673583,Factor2,0.81504064673583
Q17_16,0.35036012498823554,0.6983305140098292,Factor2,0.6983305140098292
Q17_17,0.3993371565482881,0.733663314047227,Factor2,0.733663314047227
