,coef,OR,p
const,-0.7441478974300508,0.4751389946531501,0.012671501843153262
SDI,-1.342431832946462,0.26120967728230776,9.984775396621714e-08
ind_mfg,1.7790373988464117,5.9241510783860765,5.321952412923278e-79
elder_rate,-0.5415548723404304,0.5818428573042238,0.0012384077734174832
foreign_rate,1.6868023272116495,5.402178657040543,0.00015224401292581222
female_rate,-1.253795045785901,0.2854195586051588,2.4013181714471303e-12
log_workers,0.4910054753561568,1.6339582990847052,5.075568722331713e-16
