,coef,p
SDI,1.0119292792309185,2.2477103573176122e-10
ind_mfg,-0.7478211397472921,1.0889664795974394e-31
elder_rate,0.7791658411749958,8.949618887485126e-12
foreign_rate,-0.2498407378598009,0.2854042234470766
female_rate,0.7771522436934177,3.144401894123095e-11
log_workers,-0.5600788530205145,1.1992892086505278e-45
0/1,-1.694565638738232,6.653060554028939e-18
1/2,0.006103688586428346,0.8255153613044078
