,coef,p
SDI,-0.12161882409531935,0.6769836330073539
elder_rate,0.7314450544239609,0.0023326738583057892
foreign_rate,-0.11573662536563084,0.7337953889892884
female_rate,-1.851325807698228,0.10559787632205749
log_workers,-0.43857840265122056,1.9791778869187057e-12
0/1,-0.40001029547318445,0.19130448135517186
1/2,0.2869686942915668,1.8694714044384288e-06
