,coef,std,t,p,CI_lo,CI_hi
const,0.7678348540293517,0.08421886068651364,9.117136562645387,2.475417926802174e-19,0.6026321537314696,0.9330375543272338
SDI,-0.034064905410218504,0.07802247558939227,-0.4366037497898859,0.6624632127343524,-0.18711285151425847,0.11898304069382146
elder_rate,0.19128295720620175,0.06754290625698471,2.8320214187766153,0.004688876550913045,0.058791607778490795,0.3237743066339127
foreign_rate,-0.07227635504025266,0.09258930463993793,-0.7806123538925102,0.43515689213372855,-0.253898417135785,0.10934570705527967
female_rate,-0.3945967162229489,0.2885512766184077,-1.3675098611494974,0.17167573265319197,-0.9606154165851066,0.17142198413920884
log_workers,-0.12046058459077452,0.016081749577306174,-7.490514885318383,1.1815063632566725e-13,-0.1520063503970168,-0.08891481878453225
