,coef,std,t,p,CI_lo,CI_hi
const,1.3482811052027,0.07532015139535153,17.900669080252413,1.2512799672931399e-69,1.2006226702702132,1.4959395401351867
SDI,0.4167582291445903,0.06391762764701969,6.520239321867614,7.669642260069672e-11,0.2914534244128933,0.5420630338762873
ind_mfg,-0.30963695231118404,0.0259578179236095,-11.928466145436628,2.1737443652250637e-32,-0.36052493776867456,-0.25874896685369353
elder_rate,0.33207721663499395,0.04705318385697637,7.057486644142537,1.9128713710158406e-12,0.23983364890179792,0.42432078436819
foreign_rate,-0.1387236436505595,0.09657994872380929,-1.4363607092738162,0.15095862671450533,-0.3280600139342979,0.050612726633178895
female_rate,0.3168705356952944,0.047451783767926865,6.67773707401639,2.674364360991496e-11,0.22384554840936483,0.40989552298122395
log_workers,-0.19535335039975427,0.013945806949645848,-14.008034895730091,8.313647006816415e-44,-0.22269286034373442,-0.1680138404557741
