업종,β_SDI(logit),p_SDI(logit),β_SDI(OLS),p_SDI(OLS),bs,bf,diff,t,p1,direction,판정
제조+서비스,-0.6754663301578677,0.0033137246481313738,-0.07087383178423312,0.0022854150989166555,-0.6488,0.6941,-1.3429,-2.8922,0.0019,True,수준1+2 지지(최강)
건설,0.346336813648764,0.22926984394513805,0.053739021514625104,0.30077762611409925,-0.5672,-0.9489,0.3817,0.6522,0.7429,False,불지지
