,coef,p
F_score,-2.090546651795317,1.39993749166625e-07
S_score,-2.7244530569470147,1.2461660817713805e-11
elder_rate,0.37953413739306735,0.12609162573917226
foreign_rate,-0.23387511785548634,0.5034498017207776
female_rate,-1.2929290012864099,0.25897516815656774
log_workers,-0.3443246362608327,1.1674385660444509e-07
0/1,-2.894135923825867,1.6125475063586703e-12
1/2,0.33364455716727537,2.2796021973250337e-08
