분류,β_F(OLS),p_F,β_S(OLS),p_S,β_S-β_F,p(단측),β_S>β_F,결론일치
기본(Q17_13=F),-1.3950189920393512,4.806224515305985e-80,-0.880241206773658,9.993976887685626e-28,0.5147777852656932,1.1851793339623384e-05,True,기준
민감도(Q17_13=S),-1.1867263594732873,2.9213152552695803e-75,-1.1008148830604978,8.237938892866491e-44,0.08591147641278951,0.21541772525071323,True,True
