,coef,p
F_score,-3.728263887402351,2.9311229942531154e-71
S_score,-2.240091819729921,1.753828895085058e-25
ind_mfg,-0.6113376475131798,2.014708309475568e-20
elder_rate,0.6274446503853119,9.137207410993376e-08
foreign_rate,-0.16293743561498097,0.4984249897184473
female_rate,0.5261237499782554,1.2659881872641293e-05
log_workers,-0.4773251257523632,5.268846407141757e-32
0/1,-4.9853852809052,1.7321184662861805e-87
1/2,0.0988919126553948,0.0003637349060334739
