,coef,std,t,p,CI_lo,CI_hi
const,1.3885682970158177,0.10869894755123914,12.774441043794525,1.6725892110132642e-35,1.1753456329665335,1.601790961065102
F_score,-0.4350111433469906,0.09319314001255366,-4.667845114869958,3.3227966596177437e-06,-0.6178177852901224,-0.25220450140385875
S_score,-0.7170382750289281,0.10920925476661197,-6.565728120398683,7.175518392032585e-11,-0.9312619521183256,-0.5028145979395306
elder_rate,0.09359888766498206,0.06682003813774222,1.4007607638899902,0.16149797672813593,-0.0374745667204717,0.22467234205043582
foreign_rate,-0.10138487220272602,0.09036327671611767,-1.1219698519923467,0.2620596176282107,-0.2786404853221709,0.07587074091671886
female_rate,-0.2533454990696303,0.28188760789542844,-0.8987464931896318,0.3689357997702609,-0.806293140900392,0.29960214276113134
log_workers,-0.08940517325213193,0.01608376988456899,-5.5587199949875306,3.2258213343270255e-08,-0.12095491996082815,-0.057855426543435715
