,coef,std,t,p,CI_lo,CI_hi
const,2.5684424435570294,0.08683020488518836,29.58005738847633,3.8579262604759337e-178,2.398219568654592,2.738665318459467
F_score,-1.3950189920393512,0.07238883993232507,-19.271188671396413,4.806224515305985e-80,-1.536930858542786,-1.2531071255359163
S_score,-0.880241206773658,0.08020446613432693,-10.974964976382047,9.993976887685626e-28,-1.0374749116054338,-0.7230075019418821
ind_mfg,-0.23772838434181504,0.024762699318491788,-9.600261315788341,1.1942792471204726e-21,-0.2862734485151847,-0.18918332016844536
elder_rate,0.2659483908264881,0.04465509150861736,5.955611820326612,2.7574482193702767e-09,0.17840606536866893,0.3534907162843072
foreign_rate,-0.06267604465708898,0.09154423013892776,-0.6846531404761573,0.49359270670965305,-0.24214034576732194,0.11678825645314397
female_rate,0.19753581320395242,0.0452118364119962,4.3691172241687495,1.2712699760594123e-05,0.10890203900239555,0.2861695874055093
log_workers,-0.14911081075419605,0.013343590367697555,-11.174714349382805,1.1301965895983065e-28,-0.17526972995648632,-0.12295189155190576
