모형,beta_F,p_F,beta_S,p_S,(1)beta_S>0,(2)beta_F비유의,(3)Wald,판정
건설   OLS,-0.4350111433469906,3.3227966596177437e-06,-0.7170382750289281,7.175518392032585e-11,False,False,False,불지지
건설   순서형,-2.090546651795317,1.39993749166625e-07,-2.7244530569470147,1.2461660817713805e-11,False,False,False,불지지
제조+서비스 OLS,-1.3950189920393512,4.806224515305985e-80,-0.880241206773658,9.993976887685626e-28,False,False,True,약한지지
제조+서비스 순서형,-3.728263887402351,2.9311229942531154e-71,-2.240091819729921,1.753828895085058e-25,False,False,False,불지지
